file,molecule,position,mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_0,0,True,True,True,True,True,False,False,False,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_10,1,True,True,True,True,True,False,False,False,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_11,2,True,True,True,True,True,False,False,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_12,3,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_13,4,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_15,5,True,True,True,True,True,False,False,False,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_2,6,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_3,7,True,True,True,True,True,False,False,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_4,8,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_5,9,True,True,True,True,True,False,False,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_6,10,True,True,True,True,True,False,False,False,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_7,11,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,0_0_8,12,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_0,0,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_1,1,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_10,2,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_11,3,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_12,4,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_13,5,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_14,6,True,True,True,True,True,True,True,True,True,False,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_15,7,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_2,8,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_3,9,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_4,10,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_5,11,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_6,12,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_7,13,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_8,14,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,0_0_9,15,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_0,0,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_1,1,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_10,2,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_11,3,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_12,4,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_13,5,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_14,6,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_15,7,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_2,8,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_3,9,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_4,10,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_5,11,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_6,12,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_7,13,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_8,14,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,0_0_9,15,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_0,0,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_12,1,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_13,2,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_14,3,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_15,4,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_2,5,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_3,6,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_4,7,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_5,8,True,True,True,True,True,False,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_6,9,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_8,10,True,True,True,True,True,True,True,True,True,True,True
results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,0_0_9,11,True,True,True,True,True,True,True,True,True,True,True
