data_id,key,returncode,generated_sdf,raw_out_dir,result_json,timeout,skipped_existing,log_path,sdf_files,records,readable,sanitizable
0,bindingmoad_000_4n9e_2hl,0,results/bindingmoad_molpilot_v50/bindingmoad_000_4n9e_2hl_gen.sdf,results/bindingmoad_molpilot_v50_raw/data000,logs/bindingmoad_molpilot_v50/json/data000.json,False,False,logs/bindingmoad_molpilot_v50/data000.log,9,9,9,9
1,bindingmoad_001_3elh_dud,0,results/bindingmoad_molpilot_v50/bindingmoad_001_3elh_dud_gen.sdf,results/bindingmoad_molpilot_v50_raw/data001,logs/bindingmoad_molpilot_v50/json/data001.json,False,False,logs/bindingmoad_molpilot_v50/data001.log,7,7,7,7
2,bindingmoad_002_4d97_dsn,0,results/bindingmoad_molpilot_v50/bindingmoad_002_4d97_dsn_gen.sdf,results/bindingmoad_molpilot_v50_raw/data002,logs/bindingmoad_molpilot_v50/json/data002.json,False,False,logs/bindingmoad_molpilot_v50/data002.log,16,16,16,16
3,bindingmoad_003_2q5o_tpw,0,results/bindingmoad_molpilot_v50/bindingmoad_003_2q5o_tpw_gen.sdf,results/bindingmoad_molpilot_v50_raw/data003,logs/bindingmoad_molpilot_v50/json/data003.json,False,False,logs/bindingmoad_molpilot_v50/data003.log,10,10,10,10
4,bindingmoad_004_6dyt_f0g,0,results/bindingmoad_molpilot_v50/bindingmoad_004_6dyt_f0g_gen.sdf,results/bindingmoad_molpilot_v50_raw/data004,logs/bindingmoad_molpilot_v50/json/data004.json,False,False,logs/bindingmoad_molpilot_v50/data004.log,12,12,12,12
5,bindingmoad_005_3lug_c5p,0,results/bindingmoad_molpilot_v50/bindingmoad_005_3lug_c5p_gen.sdf,results/bindingmoad_molpilot_v50_raw/data005,logs/bindingmoad_molpilot_v50/json/data005.json,False,False,logs/bindingmoad_molpilot_v50/data005.log,13,13,13,13
6,bindingmoad_006_4ygf_azm,0,results/bindingmoad_molpilot_v50/bindingmoad_006_4ygf_azm_gen.sdf,results/bindingmoad_molpilot_v50_raw/data006,logs/bindingmoad_molpilot_v50/json/data006.json,False,False,logs/bindingmoad_molpilot_v50/data006.log,12,12,12,12
7,bindingmoad_007_5jgk_sah,0,results/bindingmoad_molpilot_v50/bindingmoad_007_5jgk_sah_gen.sdf,results/bindingmoad_molpilot_v50_raw/data007,logs/bindingmoad_molpilot_v50/json/data007.json,False,False,logs/bindingmoad_molpilot_v50/data007.log,12,12,12,12
8,bindingmoad_008_7a12_qvk,0,results/bindingmoad_molpilot_v50/bindingmoad_008_7a12_qvk_gen.sdf,results/bindingmoad_molpilot_v50_raw/data008,logs/bindingmoad_molpilot_v50/json/data008.json,False,False,logs/bindingmoad_molpilot_v50/data008.log,10,10,10,10
9,bindingmoad_009_5jg0_uc9,0,results/bindingmoad_molpilot_v50/bindingmoad_009_5jg0_uc9_gen.sdf,results/bindingmoad_molpilot_v50_raw/data009,logs/bindingmoad_molpilot_v50/json/data009.json,False,False,logs/bindingmoad_molpilot_v50/data009.log,10,10,10,10
10,bindingmoad_010_4hgh_syn,0,results/bindingmoad_molpilot_v50/bindingmoad_010_4hgh_syn_gen.sdf,results/bindingmoad_molpilot_v50_raw/data010,logs/bindingmoad_molpilot_v50/json/data010.json,False,False,logs/bindingmoad_molpilot_v50/data010.log,16,16,16,16
11,bindingmoad_011_6tx9_hyn,0,results/bindingmoad_molpilot_v50/bindingmoad_011_6tx9_hyn_gen.sdf,results/bindingmoad_molpilot_v50_raw/data011,logs/bindingmoad_molpilot_v50/json/data011.json,False,False,logs/bindingmoad_molpilot_v50/data011.log,16,16,16,16
12,bindingmoad_012_6toi_nqn,0,results/bindingmoad_molpilot_v50/bindingmoad_012_6toi_nqn_gen.sdf,results/bindingmoad_molpilot_v50_raw/data012,logs/bindingmoad_molpilot_v50/json/data012.json,False,False,logs/bindingmoad_molpilot_v50/data012.log,12,12,12,12
13,bindingmoad_013_3vi0_sog,0,results/bindingmoad_molpilot_v50/bindingmoad_013_3vi0_sog_gen.sdf,results/bindingmoad_molpilot_v50_raw/data013,logs/bindingmoad_molpilot_v50/json/data013.json,False,False,logs/bindingmoad_molpilot_v50/data013.log,12,12,12,12
14,bindingmoad_014_5wxu_flc,0,results/bindingmoad_molpilot_v50/bindingmoad_014_5wxu_flc_gen.sdf,results/bindingmoad_molpilot_v50_raw/data014,logs/bindingmoad_molpilot_v50/json/data014.json,False,False,logs/bindingmoad_molpilot_v50/data014.log,14,14,14,14
15,bindingmoad_015_4r6e_3jd,0,results/bindingmoad_molpilot_v50/bindingmoad_015_4r6e_3jd_gen.sdf,results/bindingmoad_molpilot_v50_raw/data015,logs/bindingmoad_molpilot_v50/json/data015.json,False,False,logs/bindingmoad_molpilot_v50/data015.log,9,9,9,9
16,bindingmoad_016_5he5_60s,0,results/bindingmoad_molpilot_v50/bindingmoad_016_5he5_60s_gen.sdf,results/bindingmoad_molpilot_v50_raw/data016,logs/bindingmoad_molpilot_v50/json/data016.json,False,False,logs/bindingmoad_molpilot_v50/data016.log,12,12,12,12
17,bindingmoad_017_6r18_ef2,0,results/bindingmoad_molpilot_v50/bindingmoad_017_6r18_ef2_gen.sdf,results/bindingmoad_molpilot_v50_raw/data017,logs/bindingmoad_molpilot_v50/json/data017.json,False,False,logs/bindingmoad_molpilot_v50/data017.log,15,15,15,15
18,bindingmoad_018_7k4q_6nt,0,results/bindingmoad_molpilot_v50/bindingmoad_018_7k4q_6nt_gen.sdf,results/bindingmoad_molpilot_v50_raw/data018,logs/bindingmoad_molpilot_v50/json/data018.json,False,False,logs/bindingmoad_molpilot_v50/data018.log,12,12,12,12
