direction,method,scenario,seeds,n,auroc,auprc,brier,ece
DiffSBDD_to_Pocket2Mol,bayesian_fusion,full,1,848.0,0.988256172839506,0.9962686918110362,0.1531790925996868,0.1532401288575522
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_chemistry,1,848.0,0.9880941358024692,0.9961950927683416,0.1528691445665406,0.153080673966679
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_geometry,1,848.0,0.9345987654320989,0.9790726086556296,0.1591981130314936,0.1591981130133475
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_risk,1,848.0,0.9748418209876544,0.9914496467234944,0.1532976488785351,0.1532997672300827
DiffSBDD_to_Pocket2Mol,bayesian_fusion,missing_validity,1,848.0,0.8582368827160494,0.926555206900782,0.229811815244392,0.2298819267631699
DiffSBDD_to_Pocket2Mol,hgb_early,full,1,848.0,0.9914274691358024,0.9965952962233532,0.0165998772700513,0.0119108741627455
DiffSBDD_to_Pocket2Mol,hgb_early,missing_chemistry,1,848.0,0.9902314814814815,0.9951096903676038,0.0242622691305545,0.0348602434555668
DiffSBDD_to_Pocket2Mol,hgb_early,missing_geometry,1,848.0,0.944224537037037,0.9773642264443138,0.157097367414142,0.1574867512715477
DiffSBDD_to_Pocket2Mol,hgb_early,missing_risk,1,848.0,0.990408950617284,0.9957898255581727,0.0210342470646673,0.0201152824801011
DiffSBDD_to_Pocket2Mol,hgb_early,missing_validity,1,848.0,0.8731134259259259,0.920180528147334,0.0789936200201201,0.0737545740460556
DiffSBDD_to_Pocket2Mol,late_fusion,full,1,848.0,0.8728086419753086,0.958951221492099,0.1536823713924131,0.1698373865369279
DiffSBDD_to_Pocket2Mol,late_fusion,missing_chemistry,1,848.0,0.8868904320987654,0.960690141123872,0.1475803871584296,0.1707779633260226
DiffSBDD_to_Pocket2Mol,late_fusion,missing_geometry,1,848.0,0.8836651234567902,0.9626526017548092,0.1523002715574611,0.1725604651393426
DiffSBDD_to_Pocket2Mol,late_fusion,missing_risk,1,848.0,0.643888888888889,0.8150799620422409,0.1622594429160445,0.121080989308005
