heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
DiffSBDD,leave_generator_out_isotonic,0,8000.0,,0.63325,,0.1335246342259506,,0.49975513291987134,,0.47710275905952326,,0.6653985725169415,,0.7539473607149124,
DiffSBDD,leave_generator_out_isotonic,5,7600.0,0.0,0.6333552631578947,0.0011508457687194834,0.13355458708152326,0.000966959501239572,0.49985575471332855,0.0012348074699421925,0.4772759291724148,0.0011355682415100253,0.665325793601741,0.001722631179400385,0.7536641996173532,0.0020640088336126494
DiffSBDD,leave_generator_out_isotonic,10,7200.0,0.0,0.6346666666666667,0.002828396813079115,0.13401105905159605,0.0010760275606371372,0.5007158106447545,0.00215005103714214,0.4776382719936748,0.001645970098958484,0.666057187716526,0.004688711912043092,0.75576161991587,0.0033611386610715313
DiffSBDD,leave_generator_out_isotonic,20,6400.0,0.0,0.633328125,0.0053699154326183034,0.13325584049667227,0.0020252035258069186,0.5001910348671614,0.0047643964705143815,0.47715289365338426,0.0037858817109917868,0.6657157842773419,0.004792809802181374,0.7547640801062055,0.0052069655448144765
DiffSBDD,raw_risk,0,8000.0,,0.63325,,0.23210025406313073,,0.41702416825302546,,0.411637477779283,,0.6728619845846684,,0.7743585637573775,
DiffSBDD,raw_risk,5,7600.0,0.0,0.6333552631578947,0.0011508457687194834,0.23209479870917296,0.0025656164240868747,0.4172704083471214,0.0024731149353767897,0.411885347608375,0.002145970833764009,0.6724676029319591,0.0015747303780587535,0.7738849756377866,0.002044928041758645
DiffSBDD,raw_risk,10,7200.0,0.0,0.6346666666666667,0.002828396813079115,0.23301807755167556,0.0030172778775202696,0.4175030675032246,0.0020003083978436045,0.41171996332307154,0.0026248829366966476,0.6732244417642052,0.005105202535614388,0.7759826307649712,0.0035692924463868233
DiffSBDD,raw_risk,20,6400.0,0.0,0.633328125,0.0053699154326183034,0.23122061558326318,0.0029685092427106582,0.4172246833905833,0.0040247743285606,0.4116377807913044,0.003136517729891612,0.6733798544171037,0.004739143957704724,0.77547138849711,0.005036013176737397
DiffSBDD,target_adapted_isotonic,0,8000.0,,0.63325,,0.1335246342259506,,0.49975513291987134,,0.47710275905952326,,0.6653985725169415,,0.7539473607149124,
DiffSBDD,target_adapted_isotonic,5,7600.0,0.0,0.6333552631578947,0.0011508457687194834,0.1495754068846825,0.0018440511061288206,0.4838373865306872,0.0020644288552584423,0.46040320079860797,0.002057877918495616,0.6664118712189275,0.00344020744085061,0.7542283964508105,0.004176314665707149
DiffSBDD,target_adapted_isotonic,10,7200.0,0.0,0.6346666666666667,0.002828396813079115,0.16485816910735251,0.0016412693240776728,0.4698722284288025,0.0033634897112665442,0.4458451134222202,0.0029122591978095243,0.6672733287106916,0.005160285352585098,0.7564309887279116,0.003210874876808575
DiffSBDD,target_adapted_isotonic,20,6400.0,0.0,0.633328125,0.0053699154326183034,0.19202255625610928,0.002454340387214878,0.44145133351812804,0.006955903215336515,0.41804152728905447,0.005562850349816708,0.668689461774859,0.0050783326837383225,0.7571586160607832,0.005902942184399331
DiffSBDD-PB,leave_generator_out_isotonic,0,6860.0,,0.1520408163265306,,0.4784497110484632,,0.3264088947219326,,0.19943071508930132,,0.8865224766038511,,0.5825715494396189,
DiffSBDD-PB,leave_generator_out_isotonic,5,6523.6,15.254871717294423,0.15163616297172666,0.0026808853868933243,0.47820449932852105,0.001446263690762808,0.32656833635679433,0.0015206204739832917,0.19979069346325468,0.0006723104194609368,0.8852776676615847,0.0016938015795711226,0.5779692519450113,0.007944644402495264
DiffSBDD-PB,leave_generator_out_isotonic,10,6161.6,41.191153311252535,0.1524369954869988,0.003076292886147893,0.4787158786526443,0.002052658653835385,0.32627888316564546,0.0022766027024542545,0.19943595743815518,0.0011028073295688333,0.8867405395085013,0.00415122506218429,0.5834365374400663,0.009834851815500362
DiffSBDD-PB,leave_generator_out_isotonic,20,5500.0,46.3800723491361,0.15352273688724088,0.004411913920319603,0.4782025533874735,0.0034701055091333802,0.3246798165002326,0.003458751299247421,0.1993456154979593,0.002182508974159748,0.8864836198260517,0.0046031336233885185,0.5788282492955339,0.02022426014077224
DiffSBDD-PB,raw_risk,0,6860.0,,0.1520408163265306,,0.3676048434870619,,0.2155640271605313,,0.1754411332935889,,0.8886780259071381,,0.6069714494014232,
DiffSBDD-PB,raw_risk,5,6523.6,15.254871717294423,0.15163616297172666,0.0026808853868933243,0.36745023497621576,0.003085555160752352,0.21581407200448913,0.0016184152746258594,0.17576869114277244,0.001237579916594919,0.8874572492103354,0.001714194730663345,0.6019501511145335,0.0074982733885848255
