calib_targets,method,metric,pairs,delta_vs_raw_mean,improved_fraction,wilcoxon_p,bh_fdr
5,adapted_beta,ece,140,-0.016718262448992702,0.7357142857142858,8.797777009729822e-08,2.6393331029189465e-07
5,adapted_beta,brier,140,-0.006116399959447493,0.8714285714285714,7.126203964282467e-10,2.302312049998951e-09
5,adapted_isotonic,ece,140,-0.025444655688190744,0.7714285714285715,2.1682170094069163e-15,4.5532557197545245e-14
5,adapted_isotonic,brier,140,-0.008762771802578917,0.8714285714285714,4.846282936240925e-12,2.2615987035790986e-11
5,adapted_platt,ece,140,0.038672997169948146,0.7214285714285714,9.449857682454711e-05,0.00012235645572639939
5,adapted_platt,brier,140,0.022072345295536498,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
5,logo_beta,ece,140,0.09748478454664489,0.7285714285714285,3.812680203133262e-05,5.521812707986104e-05
5,logo_beta,brier,140,0.10720970346153948,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
5,logo_isotonic,ece,140,0.09949074918175503,0.7285714285714285,9.613721521359951e-05,0.00012235645572639939
5,logo_isotonic,brier,140,0.11202841567373717,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
5,logo_platt,ece,140,0.1057536572355884,0.7214285714285714,9.130010368339043e-05,0.00012235645572639939
5,logo_platt,brier,140,0.12088375402655195,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
5,shrinkage_beta,ece,140,0.06893859660749084,0.7285714285714285,4.060903657060704e-05,5.685265119884986e-05
5,shrinkage_beta,brier,140,0.060085120153896526,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
10,adapted_beta,ece,140,-0.02271609335153744,0.7428571428571429,8.019583004012109e-11,2.8068540514042383e-10
10,adapted_beta,brier,140,-0.009046828257735812,0.8857142857142857,7.435211189510109e-14,7.806971748985615e-13
10,adapted_isotonic,ece,140,-0.025638004798554263,0.8285714285714286,2.53920182849853e-16,1.0664647679693827e-14
10,adapted_isotonic,brier,140,-0.008646342943073647,0.8928571428571429,1.2119831846357863e-13,1.0180658750940607e-12
10,adapted_platt,ece,140,0.019631883611495482,0.7142857142857143,0.00022790300202302905,0.0002518927917096637
10,adapted_platt,brier,140,0.006248125768634362,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
10,logo_beta,ece,140,0.09850101205763852,0.7214285714285714,0.00011701452201101075,0.00014454735071948386
10,logo_beta,brier,140,0.10776248445361462,0.85,1.3375398154130516e-06,2.2470668898939265e-06
10,logo_isotonic,ece,140,0.10069953937103043,0.7214285714285714,0.0002412901663870444,0.00025985094841681703
10,logo_isotonic,brier,140,0.11272007566588803,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
10,logo_platt,ece,140,0.10668576392189899,0.7142857142857143,0.00022056947923063255,0.0002503761656131505
10,logo_platt,brier,140,0.12120536698225719,0.8571428571428571,1.3236261608012256e-06,2.2470668898939265e-06
10,shrinkage_beta,ece,140,0.03787191093237504,0.7214285714285714,0.00012736582382708012,0.00015283898859249614
10,shrinkage_beta,brier,140,0.02191904016801075,0.85,1.3375398154130516e-06,2.2470668898939265e-06
20,adapted_beta,ece,140,-0.026033792908939368,0.8,4.226376373391674e-11,1.61370734256773e-10
20,adapted_beta,brier,140,-0.010943788566032125,0.8142857142857143,6.15257242856894e-13,3.691543457141364e-12
20,adapted_isotonic,ece,140,-0.028002644091792338,0.7714285714285715,1.4950502648615232e-14,2.0930703708061324e-13
20,adapted_isotonic,brier,140,-0.010430904634328535,0.8142857142857143,1.7705966816441633e-12,9.295632578631857e-12
20,adapted_platt,ece,140,0.002090135580217123,0.6857142857142857,0.00031494224360469487,0.00031494224360469487
20,adapted_platt,brier,140,-0.0023692193064928087,0.7928571428571428,1.9908896557696112e-07,5.574491036154911e-07
20,logo_beta,ece,140,0.09735534627169745,0.7857142857142857,0.00015325457971283085,0.0001787970096649693
20,logo_beta,brier,140,0.10774346660791696,0.7928571428571428,3.6158040911968177e-06,5.423706136795226e-06
20,logo_isotonic,ece,140,0.09938065877962379,0.7214285714285714,0.00025130034395293567,0.0002638653611505825
20,logo_isotonic,brier,140,0.11253241267991022,0.7928571428571428,2.669615583856081e-06,4.312455943152131e-06
20,logo_platt,ece,140,0.10544978382983118,0.6857142857142857,0.0002860127248593406,0.00029298864497786115
20,logo_platt,brier,140,0.1212364532645825,0.7928571428571428,2.866405084291212e-06,4.458852353341885e-06
20,shrinkage_beta,ece,140,-0.026033792908939368,0.8,4.226376373391674e-11,1.61370734256773e-10
20,shrinkage_beta,brier,140,-0.010943788566032125,0.8142857142857143,6.15257242856894e-13,3.691543457141364e-12
