heldout_source,method,calib_targets,test_n_mean,test_n_std,failure_rate_mean,failure_rate_std,mean_pred_failure_mean,mean_pred_failure_std,ece_mean,ece_std,brier_mean,brier_std,auroc_mean,auroc_std,auprc_mean,auprc_std
DiffSBDD-PB,adapted_beta,5,95.0,0.0,0.007894736842105263,0.004676438508624413,0.007967384964621339,0.001217176456582706,0.004935458886046613,0.0030110148674379568,0.007828103492002275,0.004569336538175753,0.8191489361702128,0.011372818804784001,0.05575736727439514,0.0036542868451352817
DiffSBDD-PB,adapted_beta,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.00760401742360817,0.0009603437201350459,0.0047876091491040555,0.002172217251770887,0.00934550009419308,0.003980456242904828,0.8189028420356907,0.013693555423067213,0.05870540682733361,0.004282380169252781
DiffSBDD-PB,adapted_beta,20,80.0,0.0,0.00875,0.0058770293247703415,0.007783342423968968,0.0011366382977338507,0.006645191576804028,0.0018980077909128872,0.008670220461009893,0.005756399642102736,0.8209764918625678,0.01780280623817068,0.06656143226521379,0.006088058395514954
DiffSBDD-PB,adapted_isotonic,5,95.0,0.0,0.007894736842105263,0.004676438508624413,0.005553899569795512,0.001374787977288761,0.006277735220096993,0.0009462966352848176,0.007864029616734878,0.004621134847108946,0.3989361702127659,0.006667906069446886,0.010623366927958193,3.940266240475897e-05
DiffSBDD-PB,adapted_isotonic,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.005161851819879692,0.001122954684293947,0.006612435556501925,0.0004984007655159765,0.009397508199826534,0.004024012214279344,0.4008592200925314,0.005597285091194397,0.011228611294705147,3.027910424923015e-05
DiffSBDD-PB,adapted_isotonic,20,80.0,0.0,0.00875,0.0058770293247703415,0.005498309839863133,0.0014227685432940975,0.007820699829221893,0.00014866760779373855,0.008715006374098215,0.00581433196172071,0.39918625678119346,0.007637129520827587,0.012635623869801086,5.745831006349361e-05
DiffSBDD-PB,adapted_platt,5,95.0,0.0,0.007894736842105263,0.004676438508624413,0.004435588121402305,0.0008690888423981543,0.006409653172143921,0.0003043024011911392,0.007864597413297387,0.004635972924032197,0.18085106382978725,0.011372818804784034,0.012822719292480193,0.00017251883320887533
DiffSBDD-PB,adapted_platt,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.004205716423267279,0.0007264056489481647,0.007005253983941237,0.0004831062412037002,0.009402209938244721,0.004035848050013103,0.1810971579643093,0.013693555423067208,0.013538487382585944,0.00022260889001487298
DiffSBDD-PB,adapted_platt,20,80.0,0.0,0.00875,0.0058770293247703415,0.004426012512653931,0.000894158253552112,0.007776004787144254,0.00136025646841958,0.008715809706861161,0.005829639216820656,0.17902350813743215,0.017802806238170696,0.015190850633124559,0.0003262508538053638
DiffSBDD-PB,logo_beta,0,100.0,,0.01,,0.007410178940184579,,0.002589821059815421,,0.009881483782496146,,0.8181818181818181,,0.05263157894736842,
DiffSBDD-PB,logo_beta,5,95.0,0.0,0.007894736842105263,0.004676438508624413,0.00740642849982783,6.877043720053922e-05,0.004201240174796771,0.001911305023194882,0.007813397537777373,0.004593324845355588,0.8191489361702128,0.011372818804784001,0.05575736727439514,0.0036542868451352817
DiffSBDD-PB,logo_beta,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.007410262004667487,5.846162040466813e-05,0.004254812826281804,0.001357726907517112,0.009335802403588982,0.0039984302035787605,0.8189028420356907,0.013693555423067213,0.05870540682733361,0.004282380169252781
DiffSBDD-PB,logo_beta,20,80.0,0.0,0.00875,0.0058770293247703415,0.007406425503770246,9.342952333126744e-05,0.0057541420001979175,0.001075926729965215,0.008653502826436954,0.005773711133720253,0.8209764918625678,0.01780280623817068,0.06656143226521379,0.006088058395514954
DiffSBDD-PB,logo_isotonic,0,100.0,,0.01,,0.004842545694780884,,0.005157454305219116,,0.00994184499947961,,0.39898989898989895,,0.010101010101010102,
DiffSBDD-PB,logo_isotonic,5,95.0,0.0,0.007894736842105263,0.004676438508624413,0.004839482542515725,4.4149364451330524e-05,0.0054692832058123725,0.00038232649078212625,0.00785414670116797,0.004637364737076062,0.3989361702127659,0.006667906069446886,0.010623366927958193,3.940266240475897e-05
DiffSBDD-PB,logo_isotonic,10,90.0,0.0,0.009444444444444445,0.004070528317028037,0.004830958148509348,4.024400742405762e-05,0.0060659668697545825,0.0005292102296049328,0.009390820313969053,0.0040364041262863515,0.4008592200925314,0.005597285091194397,0.011228611294705147,3.027910424923015e-05
