generator,policy,key,data_id,mol_index,source_file,mol_pred,mol_cond,risk_prob,qed,all_core_pass,molecule,posebusters_position,mol_pred_loaded,mol_cond_loaded,sanitization,inchi_convertible,all_atoms_connected,no_radicals,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,protein-ligand_maximum_distance,minimum_distance_to_protein,minimum_distance_to_organic_cofactors,minimum_distance_to_inorganic_cofactors,minimum_distance_to_waters,volume_overlap_with_protein,volume_overlap_with_organic_cofactors,volume_overlap_with_inorganic_cofactors,volume_overlap_with_waters,intramol_pass,protein_pass,dock_pose_pass,source,generated_scaffold,pocket_path_rel,protein_tag,protein_family,protein_unseen_train,family_unseen_train,native_scaffold,native_scaffold_unseen_train,generated_scaffold_unseen_train,family_and_generated_scaffold_unseen,family_and_native_scaffold_unseen,protein_family_or_scaffold_unseen,risk_gt_0_5
PocketFlow,pb_qed,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0,3,10,results/pocketflow_crossdock_n16/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data003_pb_qed_m010.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,0.0829511647485871,0.7190201647891629,True,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen__mol010,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccccc1,GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,GSTP1_HUMAN,GSTP1,True,True,O=C1c2ccccc2C(=O)c2ccccc21,False,False,False,False,True,False
PocketFlow,pb_qed,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0,3,13,results/pocketflow_crossdock_n16/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data003_pb_qed_m013.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,0.1378778163042365,0.7090763308887673,True,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen__mol013,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccc(CCCc2ccccc2)cc1,GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,GSTP1_HUMAN,GSTP1,True,True,O=C1c2ccccc2C(=O)c2ccccc21,False,False,False,False,True,False
PocketFlow,pb_qed,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0,3,15,results/pocketflow_crossdock_n16/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data003_pb_qed_m015.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,0.9791288949329376,0.6427240288592433,True,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen__mol015,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccc2cc(C3CCCC3)ccc2c1,GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,GSTP1_HUMAN,GSTP1,True,True,O=C1c2ccccc2C(=O)c2ccccc21,False,True,True,False,True,True
PocketFlow,pb_qed,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0,3,2,results/pocketflow_crossdock_n16/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data003_pb_qed_m002.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,0.2301196616296343,0.6118854009737695,True,14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10_14gs_A_rec_20gs_cbd_lig_tt_min_0_gen__mol002,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccccc1,GSTP1_HUMAN_2_210_0/14gs_A_rec_20gs_cbd_lig_tt_min_0_pocket10.pdb,GSTP1_HUMAN,GSTP1,True,True,O=C1c2ccccc2C(=O)c2ccccc21,False,False,False,False,True,False
PocketFlow,pb_qed,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0,8,7,results/pocketflow_crossdock_n16/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data008_pb_qed_m007.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,0.0628210184254504,0.8179942162357984,True,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen__mol007,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccccc1,CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,CCPR_YEAST,CCPR,True,True,c1ccn2ccnc2c1,False,False,False,False,True,False
PocketFlow,pb_qed,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0,8,15,results/pocketflow_crossdock_n16/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data008_pb_qed_m015.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,0.083707983946341,0.8048391551553878,True,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen__mol015,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,O=C(Cc1ccccc1)N1C=CCC1,CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,CCPR_YEAST,CCPR,True,True,c1ccn2ccnc2c1,False,True,True,False,True,False
PocketFlow,pb_qed,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0,8,0,results/pocketflow_crossdock_n16/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data008_pb_qed_m000.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,0.140806771453115,0.7760018989443507,True,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen__mol000,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,C1=C(c2ccccc2)CCc2ccccc2C1,CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,CCPR_YEAST,CCPR,True,True,c1ccn2ccnc2c1,False,True,True,False,True,False
PocketFlow,pb_qed,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0,8,14,results/pocketflow_crossdock_n16/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data008_pb_qed_m014.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,0.7367905762121463,0.6656808010867046,True,1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10_1a2g_A_rec_4jmv_1ly_lig_tt_min_0_gen__mol014,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,O=c1[nH]c2ccccc2c2ccccc12,CCPR_YEAST_69_361_0/1a2g_A_rec_4jmv_1ly_lig_tt_min_0_pocket10.pdb,CCPR_YEAST,CCPR,True,True,c1ccn2ccnc2c1,False,False,False,False,True,True
PocketFlow,pb_qed,1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0,97,8,results/pocketflow_crossdock_n16/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data097_pb_qed_m008.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DIDH_RAT_1_319_0/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10.pdb,0.8949704281302382,0.8339952313193724,True,1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0_gen__mol008,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccc(Cc2ccccc2)cc1,DIDH_RAT_1_319_0/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10.pdb,DIDH_RAT,DIDH,True,True,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,False,False,False,True,True
PocketFlow,pb_qed,1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0,97,3,results/pocketflow_crossdock_n16/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0_gen.sdf,results/pocketflow_crossdock_n16_dockfast_selection/extracted/pb_qed/data097_pb_qed_m003.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/DIDH_RAT_1_319_0/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10.pdb,0.9800209112366322,0.7377059638869685,True,1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10_1afs_A_rec_1afs_tes_lig_tt_min_0_gen__mol003,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,PocketFlow,c1ccccc1,DIDH_RAT_1_319_0/1afs_A_rec_1afs_tes_lig_tt_min_0_pocket10.pdb,DIDH_RAT,DIDH,True,True,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,False,False,False,True,True
