axis,source,metric,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,fdr_q_joint_shift_family,improves
family_unseen_train,ExpDiff-100,dock_pose_pass,93,0.9865591397849462,0.9973118279569892,0.010752688172043012,0.0,0.026881720430107527,0.25,0.03225806451612903,higher,0.3333333333333333,True
family_unseen_train,ExpDiff-100,risk_prob,93,0.09446628718061686,0.06482234360819134,-0.029643943572425523,-0.046696410396030515,-0.016748817707059625,2.384185791015625e-07,-0.24731182795698925,lower,6.731818704044118e-07,True
family_unseen_train,ExpDiff-100,risk_gt_0_5,93,0.03494623655913978,0.0,-0.03494623655913978,-0.05913978494623656,-0.016129032258064516,0.001953125,-0.10752688172043011,lower,0.003605769230769231,True
family_unseen_train,ExpDiff-100,qed,93,0.7809734501087051,0.7759589387594302,-0.0050145113492750465,-0.007808110865294836,-0.0026404294010724015,2.384185791015625e-07,-0.24731182795698925,higher,6.731818704044118e-07,False
family_unseen_train,MolCRAFT-100,dock_pose_pass,93,0.9946236559139785,0.9973118279569892,0.002688172043010753,0.0,0.008064516129032258,1.0,0.010752688172043012,higher,1.0,True
family_unseen_train,MolCRAFT-100,risk_prob,93,0.12036943517274301,0.06654114003748138,-0.053828295135261627,-0.08125386474046824,-0.03147293834400659,1.1920928955078125e-07,-0.25806451612903225,lower,4.087175641741071e-07,True
family_unseen_train,MolCRAFT-100,risk_gt_0_5,93,0.05913978494623656,0.0,-0.05913978494623656,-0.0913978494623656,-0.03225806451612903,3.0517578125e-05,-0.17204301075268819,lower,7.512019230769231e-05,True
family_unseen_train,MolCRAFT-100,qed,93,0.6913572277636595,0.6750639563500759,-0.01629327141358368,-0.025119603317054612,-0.00888273819948733,1.1920928955078125e-07,-0.25806451612903225,higher,4.087175641741071e-07,False
family_unseen_train,MolPilot-framefix,dock_pose_pass,49,0.015306122448979591,0.03571428571428571,0.02040816326530612,0.0,0.05102040816326531,0.5,0.04081632653061224,higher,0.5853658536585366,True
family_unseen_train,MolPilot-framefix,risk_prob,49,0.9988920377779912,0.9844680013968515,-0.014424036381139461,-0.03648008068216785,0.0,0.25,-0.061224489795918366,lower,0.3333333333333333,True
family_unseen_train,MolPilot-framefix,risk_gt_0_5,49,1.0,0.9846938775510204,-0.015306122448979591,-0.04081632653061224,0.0,0.5,-0.04081632653061224,lower,0.5853658536585366,True
family_unseen_train,MolPilot-framefix,qed,49,0.6539983209901818,0.6511041712284779,-0.0028941497617039733,-0.007749573247185029,0.0,0.25,-0.061224489795918366,higher,0.3333333333333333,False
family_unseen_train,PocketFlow,dock_pose_pass,93,0.8467741935483871,0.9516129032258065,0.10483870967741936,0.07258064516129033,0.13447580645161253,2.1775895220343955e-07,0.3763440860215054,higher,6.731818704044118e-07,True
family_unseen_train,PocketFlow,risk_prob,93,0.5844900883422639,0.27937123449251294,-0.30511885384975107,-0.34020200731833394,-0.2724957676782287,3.732014234846569e-16,-0.946236559139785,lower,8.160391846099333e-15,True
family_unseen_train,PocketFlow,risk_gt_0_5,93,0.5833333333333334,0.1881720430107527,-0.3951612903225806,-0.44086021505376344,-0.34946236559139787,1.2309919885176386e-15,-0.8817204301075269,lower,1.9695871816282218e-14,True
family_unseen_train,PocketFlow,qed,93,0.7055380517368368,0.5883513666072112,-0.11718668512962559,-0.13463459550848308,-0.10096019256800538,3.732014234846569e-16,-0.946236559139785,higher,8.160391846099333e-15,False
native_scaffold_unseen_train,ExpDiff-100,dock_pose_pass,42,0.9821428571428571,0.9940476190476191,0.011904761904761904,0.0,0.02976190476190476,0.5,0.047619047619047616,higher,0.5853658536585366,True
native_scaffold_unseen_train,ExpDiff-100,risk_prob,42,0.08812295600760314,0.05404293431453747,-0.034080021693065676,-0.0541684821336424,-0.016561588028924535,0.00048828125,-0.2857142857142857,lower,0.001065340909090909,True
native_scaffold_unseen_train,ExpDiff-100,risk_gt_0_5,42,0.023809523809523808,0.0,-0.023809523809523808,-0.047619047619047616,-0.005952380952380952,0.125,-0.09523809523809523,lower,0.2,True
native_scaffold_unseen_train,ExpDiff-100,qed,42,0.8077050320727405,0.8009133952719826,-0.006791636800757987,-0.012047231061698594,-0.002446560310792394,0.00048828125,-0.2857142857142857,higher,0.001065340909090909,False
native_scaffold_unseen_train,MolCRAFT-100,dock_pose_pass,42,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,1.0,False
native_scaffold_unseen_train,MolCRAFT-100,risk_prob,42,0.12875931478706842,0.07312802126018572,-0.0556312935268827,-0.09907809749194679,-0.021836365126945145,0.0009765625,-0.2619047619047619,lower,0.001875,True
native_scaffold_unseen_train,MolCRAFT-100,risk_gt_0_5,42,0.06547619047619048,0.0,-0.06547619047619048,-0.11904761904761904,-0.023809523809523808,0.0078125,-0.19047619047619047,lower,0.013392857142857142,True
native_scaffold_unseen_train,MolCRAFT-100,qed,42,0.7258651434933159,0.7110011344543905,-0.014864009038925366,-0.027331833792519796,-0.00460181796990188,0.0009765625,-0.2619047619047619,higher,0.001875,False
native_scaffold_unseen_train,MolPilot-framefix,dock_pose_pass,22,0.03409090909090909,0.056818181818181816,0.022727272727272728,0.0,0.06818181818181818,1.0,0.045454545454545456,higher,1.0,True
native_scaffold_unseen_train,MolPilot-framefix,risk_prob,22,0.9975911530340167,0.9828457585775486,-0.014745394456468013,-0.04423618336940404,0.0,1.0,-0.045454545454545456,lower,1.0,True
native_scaffold_unseen_train,MolPilot-framefix,risk_gt_0_5,22,1.0,0.9886363636363636,-0.011363636363636364,-0.03409090909090909,0.0,1.0,-0.045454545454545456,lower,1.0,True
native_scaffold_unseen_train,MolPilot-framefix,qed,22,0.6073216554192263,0.6029564545463083,-0.004365200872918049,-0.013095602618754148,0.0,1.0,-0.045454545454545456,higher,1.0,False
native_scaffold_unseen_train,PocketFlow,dock_pose_pass,42,0.8333333333333334,0.9345238095238095,0.10119047619047619,0.047619047619047616,0.16071428571428573,0.0031528472900390625,0.3333333333333333,higher,0.005605061848958333,True
native_scaffold_unseen_train,PocketFlow,risk_prob,42,0.5901690237320216,0.297097375015949,-0.29307164871607266,-0.34585411882120726,-0.2378879373515761,1.4551915228366852e-11,-0.8809523809523809,lower,1.3969838619232177e-10,True
native_scaffold_unseen_train,PocketFlow,risk_gt_0_5,42,0.6011904761904762,0.20833333333333334,-0.39285714285714285,-0.47023809523809523,-0.30952380952380953,1.1641532182693481e-10,-0.8095238095238095,lower,6.984919309616089e-10,True
native_scaffold_unseen_train,PocketFlow,qed,42,0.6929438031011068,0.5789091145881097,-0.11403468851299715,-0.13882644999931787,-0.08847768515691153,1.4551915228366852e-11,-0.8809523809523809,higher,1.3969838619232177e-10,False
generated_scaffold_unseen_train,ExpDiff-100,dock_pose_pass,100,0.9858333333333333,0.9975,0.011666666666666667,0.0,0.0275,0.25,0.03,higher,0.3333333333333333,True
generated_scaffold_unseen_train,ExpDiff-100,risk_prob,100,0.10594265845510721,0.06716907341191553,-0.03877358504319168,-0.061629897609104894,-0.020941413297387763,2.9802322387695312e-08,-0.26,lower,1.1444091796875e-07,True
generated_scaffold_unseen_train,ExpDiff-100,risk_gt_0_5,100,0.0425,0.0,-0.0425,-0.0725,-0.0175,0.0009765625,-0.11,lower,0.001875,True
generated_scaffold_unseen_train,ExpDiff-100,qed,100,0.7730868344876102,0.7671136645227123,-0.0059731699648980395,-0.008858038596179955,-0.0034070233369790284,2.9802322387695312e-08,-0.26,higher,1.1444091796875e-07,False
generated_scaffold_unseen_train,MolCRAFT-100,dock_pose_pass,96,0.993923611111111,0.9973958333333334,0.0034722222222222225,0.0,0.010416666666666666,1.0,0.010416666666666666,higher,1.0,True
generated_scaffold_unseen_train,MolCRAFT-100,risk_prob,96,0.14617255323795741,0.06890997483176765,-0.07726257840618977,-0.11377252548813799,-0.04652512104481046,1.4901161193847656e-08,-0.2708333333333333,lower,6.811959402901785e-08,True
generated_scaffold_unseen_train,MolCRAFT-100,risk_gt_0_5,96,0.08940972222222221,0.0,-0.08940972222222221,-0.1345486111111111,-0.05379774305555567,1.9073486328125e-06,-0.20833333333333334,lower,5.086263020833333e-06,True
generated_scaffold_unseen_train,MolCRAFT-100,qed,96,0.692213691980383,0.6707665877070291,-0.021447104273353983,-0.035282671306002086,-0.010793051127346269,2.7544796466827393e-05,-0.20833333333333334,higher,7.146758002203864e-05,False
generated_scaffold_unseen_train,MolPilot-framefix,dock_pose_pass,50,0.015,0.03166666666666666,0.016666666666666666,0.0,0.04333333333333333,0.5,0.04,higher,0.5853658536585366,True
generated_scaffold_unseen_train,MolPilot-framefix,risk_prob,50,0.9989047561134167,0.985888706104575,-0.013016050008841764,-0.032439867804229625,0.0,0.25,-0.06,lower,0.3333333333333333,True
generated_scaffold_unseen_train,MolPilot-framefix,risk_gt_0_5,50,1.0,0.9883333333333333,-0.011666666666666667,-0.03,0.0,0.5,-0.04,lower,0.5853658536585366,True
generated_scaffold_unseen_train,MolPilot-framefix,qed,50,0.6535549716161718,0.6512627050399874,-0.0022922665761843665,-0.0064508269277487275,0.0,0.25,-0.06,higher,0.3333333333333333,False
generated_scaffold_unseen_train,PocketFlow,dock_pose_pass,77,0.8398268398268399,0.9523809523809526,0.11255411255411257,0.03246753246753247,0.19264069264069264,0.010109186172485352,0.16883116883116883,higher,0.017025997764185855,True
