ligand_target,ligand_mol_index,target_score,best_offtarget_score,selectivity_margin,target_rank,target_is_best,ligand_risk,ligand_qed,dock_pose_pass,mol_pred,mol_cond
ABL2,35,-8.947,-9.944,-0.9970000000000017,5,False,0.2023795629959609,0.7998481467706734,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m035.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,39,-9.303,-9.868,-0.5649999999999995,2,False,0.187749313323813,0.7738752620715563,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m039.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,42,-9.068,-10.018,-0.9500000000000011,3,False,0.0694542332263688,0.823006240061534,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m042.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,44,-6.901,-7.764,-0.8630000000000004,2,False,0.1025035968390556,0.857543261781479,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m044.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,51,-8.481,-9.482,-1.0009999999999994,6,False,0.2152522222903724,0.8361292706010345,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m051.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,58,-8.922,-9.976,-1.0540000000000003,4,False,0.0896677939504576,0.796835417424621,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m058.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,60,-6.741,-6.974,-0.23300000000000054,2,False,0.0744204997662449,0.8125183061211328,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m060.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
ABL2,74,-8.227,-9.971,-1.7439999999999998,4,False,0.0767266657833472,0.8471106222764679,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10_4xli_B_rec_4xli_1n1_lig_tt_min_0__m074.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/ABL2_HUMAN_274_551_0/4xli_B_rec_4xli_1n1_lig_tt_min_0_pocket10.pdb
AKT1,13,-9.109,-9.05,0.058999999999999275,1,True,0.0149023574989598,0.5464503960591351,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m013.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb
AKT1,28,-9.393,-9.367,0.0259999999999998,1,True,0.1129883880967753,0.7751770374555018,True,results/posebusters_dockfast_selection/extracted/fullatom_cond/pb_rc_select/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10_3o96_A_rec_3o96_iqo_lig_tt_docked_2__m028.sdf,data/raw/if3-crossdocked2020/crossdocked_pocket10/AKT1_HUMAN_1_137_0/3o96_A_rec_3o96_iqo_lig_tt_docked_2_pocket10.pdb
