dataset,calibrator,n,targets,failure_rate,mean_predicted_failure,brier,ece,auroc_failure,auprc_failure
DiffSBDD_full_pool,raw,10000,100,0.5604,0.3987890510625921,0.2626964321974168,0.2083070691192128,0.7289690631090883,0.8055130771899661
DiffSBDD_full_pool,platt_oof,10000,100,0.5604,0.5091526994398491,0.2102397178315416,0.0675010563109326,0.7238009263498906,0.7963151033616372
DiffSBDD_full_pool,isotonic_oof,10000,100,0.5604,0.5596376125366569,0.2047761280541923,0.0088065068171165,0.72321923798093,0.7982825388977266
Pocket2Mol_full_pool,raw,848,53,0.2358490566037736,0.5549703531385654,0.2835298753020284,0.3233983798504443,0.8239004629629629,0.6717174713426552
Pocket2Mol_full_pool,platt_oof,848,53,0.2358490566037736,0.4368804364493889,0.1914362878451443,0.2010313798456153,0.8046720679012345,0.5387569006641196
Pocket2Mol_full_pool,isotonic_oof,848,53,0.2358490566037736,0.2394342768763636,0.1325955072587611,0.0514097817284449,0.8022453703703702,0.5997656809566903
Prospective20_selected,raw,480,20,0.21875,0.377501485197952,0.1620362000505135,0.1598796962743833,0.8400253968253968,0.7329882314017137
Prospective20_selected,platt_oof,480,20,0.21875,0.407236618252252,0.1622271027822933,0.1884866182522519,0.8129015873015873,0.6317713691823017
Prospective20_selected,isotonic_oof,480,20,0.21875,0.2174781169775529,0.1164435756685407,0.0533744267374121,0.8018412698412698,0.6385804895301502
SYNCGuide_selected,raw,1179,50,0.2832909245122985,0.1181208390833439,0.2562185807071799,0.2276239243854896,0.491428976366793,0.315470267383525
SYNCGuide_selected,platt_oof,1179,50,0.2832909245122985,0.4990626117088614,0.250693652127511,0.2157716871965629,0.4784891754951635,0.2707295960127843
SYNCGuide_selected,isotonic_oof,1179,50,0.2832909245122985,0.2846716955001979,0.2045419315370594,0.0448405740373439,0.4552156042943698,0.2918636981570369
