block,metric,baseline,method,targets,baseline_mean,method_mean,delta_method_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,cliffs_delta,desired_direction,improves,fdr_q,registry_source,role,hypothesis_family,fdr_q_global_registry
main_fullatom_cond,dock_fast,pb_qed,pb_rc_select,100,0.7979999999999999,0.967,0.169,0.132,0.209,3.470870779561234e-13,0.5652,higher,True,1.3635563776847706e-12,target_stats,,controlled_primary,1.7558522767192124e-12
main_fullatom_cond,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,target_stats,,controlled_primary,1.0
main_fullatom_cond,qed,pb_qed,pb_rc_select,100,0.7653755818589832,0.68673845554119,-0.078637126317793,-0.0934656752859523,-0.0644672839950872,5.5719648223844e-17,-0.4147,higher,False,6.129161304622839e-16,target_stats,,controlled_primary,6.845556781786548e-16
main_fullatom_cond,risk_gt_0_5,pb_qed,pb_rc_select,100,0.357,0.02,-0.337,-0.378,-0.295,9.188830620797362e-17,-0.8599,lower,True,6.317321051798186e-16,target_stats,,controlled_primary,7.902394333885731e-16
main_fullatom_cond,risk_prob,pb_qed,pb_rc_select,100,0.3958543518271245,0.1160954926604467,-0.2797588591666778,-0.3141102148279601,-0.2472660775726892,5.5719648223844e-17,-0.7869,lower,True,6.129161304622839e-16,target_stats,,controlled_primary,6.845556781786548e-16
bindingmoad_task1_strict33,dock_fast,pb_qed,pb_rc_select,33,0.2272727272727272,0.2727272727272727,0.0454545454545454,0.0075757575757575,0.0909090909090909,0.0338948535246892,0.0587695133149678,higher,True,0.0642218277309901,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,0.04940605768005544
bindingmoad_task1_strict33,mol_fast,pb_qed,pb_rc_select,33,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,1.0
bindingmoad_task1_strict33,protein_pass,pb_qed,pb_rc_select,33,0.2272727272727272,0.2727272727272727,0.0454545454545454,0.0075757575757575,0.0909090909090909,0.0338948535246892,0.0587695133149678,higher,True,0.0642218277309901,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,0.04940605768005544
bindingmoad_task1_strict33,qed,pb_qed,pb_rc_select,33,0.6673854026809241,0.6558296265322716,-0.0115557761486525,-0.0224765196994867,-0.0030908327655616,0.0117186855997686,-0.1267217630853994,higher,False,0.0281248454394446,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,0.018323762937819996
bindingmoad_task1_strict33,risk_gt_0_5,pb_qed,pb_rc_select,33,0.9848484848484848,0.946969696969697,-0.0378787878787878,-0.0757575757575757,-0.0075757575757575,0.0587817213553588,-0.0661157024793388,lower,True,0.1058070984396458,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,0.08425380060934762
bindingmoad_task1_strict33,risk_prob,pb_qed,pb_rc_select,33,0.9834720400511098,0.9404709759943704,-0.0430010640567392,-0.0866586536332856,-0.0099247200083736,0.0117186855997686,-0.0697887970615243,lower,True,0.0281248454394446,sota_external,strict Task1 supplement with 33 automatically matchable pockets,generator_external,0.018323762937819996
bindingmoad_v100_holdout,dock_fast,pb_qed,pb_rc_select,100,0.2625,0.36,0.0975,0.0575,0.14,2.624231256866572e-05,0.1488,higher,True,0.0001049692502746,sota_external,external de novo holdout,generator_external,5.786766361295518e-05
bindingmoad_v100_holdout,mol_fast,pb_qed,pb_rc_select,100,1.0,1.0,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,external de novo holdout,generator_external,1.0
bindingmoad_v100_holdout,protein_pass,pb_qed,pb_rc_select,100,0.2625,0.36,0.0975,0.06,0.14,2.624231256866572e-05,0.1488,higher,True,0.0001049692502746,sota_external,external de novo holdout,generator_external,5.786766361295518e-05
bindingmoad_v100_holdout,qed,pb_qed,pb_rc_select,100,0.6786765690306211,0.6600445903980685,-0.0186319786325526,-0.0277596040107323,-0.0108505726409834,5.606116527496013e-06,-0.1375,higher,False,2.8831456427122357e-05,sota_external,external de novo holdout,generator_external,1.3392389482351588e-05
bindingmoad_v100_holdout,risk_gt_0_5,pb_qed,pb_rc_select,100,0.99,0.9075,-0.0825,-0.1225,-0.045,8.633817112518657e-05,-0.1632,lower,True,0.0002657237306359,sota_external,external de novo holdout,generator_external,0.0001767876837325249
bindingmoad_v100_holdout,risk_prob,pb_qed,pb_rc_select,100,0.982645845611954,0.9070261493008016,-0.0756196963111523,-0.1089215177119186,-0.0451169235267053,5.606116527496013e-06,-0.1221,lower,True,2.8831456427122357e-05,sota_external,external de novo holdout,generator_external,1.3392389482351588e-05
molpilot_crossdock_t50,dock_fast,pb_qed,pb_rc_select,50,0.025,0.025,0.0,0.0,0.0,1.0,0.0,higher,False,1.0,sota_external,negative recent-SOTA generator-shift stress case,generator_external,1.0
